user_input,retrieved_contexts,response,reference,context_utilization,faithfulness,answer_relevancy,context_precision,context_recall
Where is CVR College of Engineering located?,"['a1: CVR College of Engineering (CVRCE) is a private autonomous engineering college near Ibrahimpatnam, Hyderabad, affiliated to JNTU Hyderabad,known for strong placements and is managed by the Cherabuddi Education Society.\na2: The Society seeks to harness the technical expertise and financial support of NRIs to make CVR College of Engineering a pre-eminent technical institution.\na3: Dr. Raghava V Cherabuddi is an NRI member of the Cherabuddi Education Society.', 'a7: The principal of CVR College is Dr.K.Ramamohan Reddy,Professor of Civil Engineering & Principal.\na8: The director of CVR College is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976\na9: I am a CVR College support bot, your virtual helper designed to support students. I\'m here to provide information on a variety of topics. Whether you have questions about facilities, academic programs, placements, attendance rules, or general campus information â€” I\'m here to make things easier for you.\na10: The official website of CVR College is ""cvr.ac.in"".', 'S12: CVR College of Engineering offers a wide range of sports facilities for students.\nS13: CVR College of Engineering Outdoor sports facilities include volleyball courts, a basketball court, a throw ball court, a badminton court, a cricket ground with flood lights, and a football ground.\nS14: CVR College of Engineering Indoor sports facilities include table tennis, chess, gym, and carroms.', 'c12: The college offers a B.Tech program in Mechanical Engineering with an intake of 60 seats for the academic year 2025-26.\nc13: The Computer Science Engineering program includes subjects such as Data Structures, Operating Systems, DBMS, and Machine Learning.\nc14: Elective courses are offered from the third year onwards based on department guidelines.\nc15: CVR College of Engineering offers B.Tech. courses in Civil, CSBS, CSE, CSE (Artificial Intelligence and Machine Learning), CSE (Cyber Security), CSE (Data Science), ECE, EEE, EE (VLSI), EIE, IT and Mechanical Engineering.', 'a10: The official website of CVR College is ""cvr.ac.in"".\na11: For general enquiries contact principal@cvr.ac.in or for admissions related enquiries contact snreddy@cvr.ac.in or for placements related enquiries: placement@cvr.ac.in or 099598 34090.\na12: The address of CVR College campus is Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.\na13: The EAMCET Code is ""CVRH"".\nAR1: A minimum of 75 percent attendance is required to appear for end semester examinations.\nAR2: Students who fail in more than two subjects in a semester must repeat the semester.']","CVR College of Engineering is located near Ibrahimpatnam, Hyderabad. The full address is Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.",near Ibrahimpatnam Hyderabad,0.699999999965,1.0,0.912186138364102,0.699999999965,
What is the official website of CVR College?,"['a7: The principal of CVR College is Dr.K.Ramamohan Reddy,Professor of Civil Engineering & Principal.\na8: The director of CVR College is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976\na9: I am a CVR College support bot, your virtual helper designed to support students. I\'m here to provide information on a variety of topics. Whether you have questions about facilities, academic programs, placements, attendance rules, or general campus information â€” I\'m here to make things easier for you.\na10: The official website of CVR College is ""cvr.ac.in"".', 'a1: CVR College of Engineering (CVRCE) is a private autonomous engineering college near Ibrahimpatnam, Hyderabad, affiliated to JNTU Hyderabad,known for strong placements and is managed by the Cherabuddi Education Society.\na2: The Society seeks to harness the technical expertise and financial support of NRIs to make CVR College of Engineering a pre-eminent technical institution.\na3: Dr. Raghava V Cherabuddi is an NRI member of the Cherabuddi Education Society.', 'a10: The official website of CVR College is ""cvr.ac.in"".\na11: For general enquiries contact principal@cvr.ac.in or for admissions related enquiries contact snreddy@cvr.ac.in or for placements related enquiries: placement@cvr.ac.in or 099598 34090.\na12: The address of CVR College campus is Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.\na13: The EAMCET Code is ""CVRH"".\nAR1: A minimum of 75 percent attendance is required to appear for end semester examinations.\nAR2: Students who fail in more than two subjects in a semester must repeat the semester.', 'S12: CVR College of Engineering offers a wide range of sports facilities for students.\nS13: CVR College of Engineering Outdoor sports facilities include volleyball courts, a basketball court, a throw ball court, a badminton court, a cricket ground with flood lights, and a football ground.\nS14: CVR College of Engineering Indoor sports facilities include table tennis, chess, gym, and carroms.', 'p7: Several personality development programs have been conducted by industry experts to enhance studentsâ€™ professional skills.\np8: CVR students have achieved the highest number of recruitments among institutions of similar age.\np9: For nine consecutive years, CVR students have secured the highest number of placements through pool and on-campus recruitment drives.\np10: Ms. Vijaya Mair serves as the Associate Dean for Campus and Corporate Relations and handles placement-related assistance.']","The official website of CVR College is ""cvr.ac.in"".",cvr.ac.in,0.8333333332916666,1.0,1.0,0.8333333332916666,1.0
What courses or programs does CVR College offer?,"['a7: The principal of CVR College is Dr.K.Ramamohan Reddy,Professor of Civil Engineering & Principal.\na8: The director of CVR College is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976\na9: I am a CVR College support bot, your virtual helper designed to support students. I\'m here to provide information on a variety of topics. Whether you have questions about facilities, academic programs, placements, attendance rules, or general campus information â€” I\'m here to make things easier for you.\na10: The official website of CVR College is ""cvr.ac.in"".', 'a1: CVR College of Engineering (CVRCE) is a private autonomous engineering college near Ibrahimpatnam, Hyderabad, affiliated to JNTU Hyderabad,known for strong placements and is managed by the Cherabuddi Education Society.\na2: The Society seeks to harness the technical expertise and financial support of NRIs to make CVR College of Engineering a pre-eminent technical institution.\na3: Dr. Raghava V Cherabuddi is an NRI member of the Cherabuddi Education Society.', 'a10: The official website of CVR College is ""cvr.ac.in"".\na11: For general enquiries contact principal@cvr.ac.in or for admissions related enquiries contact snreddy@cvr.ac.in or for placements related enquiries: placement@cvr.ac.in or 099598 34090.\na12: The address of CVR College campus is Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.\na13: The EAMCET Code is ""CVRH"".\nAR1: A minimum of 75 percent attendance is required to appear for end semester examinations.\nAR2: Students who fail in more than two subjects in a semester must repeat the semester.', 'c12: The college offers a B.Tech program in Mechanical Engineering with an intake of 60 seats for the academic year 2025-26.\nc13: The Computer Science Engineering program includes subjects such as Data Structures, Operating Systems, DBMS, and Machine Learning.\nc14: Elective courses are offered from the third year onwards based on department guidelines.\nc15: CVR College of Engineering offers B.Tech. courses in Civil, CSBS, CSE, CSE (Artificial Intelligence and Machine Learning), CSE (Cyber Security), CSE (Data Science), ECE, EEE, EE (VLSI), EIE, IT and Mechanical Engineering.', 'S12: CVR College of Engineering offers a wide range of sports facilities for students.\nS13: CVR College of Engineering Outdoor sports facilities include volleyball courts, a basketball court, a throw ball court, a badminton court, a cricket ground with flood lights, and a football ground.\nS14: CVR College of Engineering Indoor sports facilities include table tennis, chess, gym, and carroms.']","CVR College of Engineering offers B.Tech. courses in the following programs:

1. Civil Engineering
2. CSBS
3. Computer Science Engineering (CSE)
4. CSE (Artificial Intelligence and Machine Learning)
5. CSE (Cyber Security)
6. CSE (Data Science)
7. Electronics and Communication Engineering (ECE)
8. Electrical and Electronics Engineering (EEE)
9. Electrical Engineering (VLSI)
10. Electronics and Instrumentation Engineering (EIE)
11. Information Technology (IT)
12. Mechanical Engineering

Additionally, the Computer Science Engineering program includes subjects such as:

* Data Structures
* Operating Systems
* DBMS
* Machine Learning

Elective courses are also offered from the third year onwards based on department guidelines.",B.Tech in Civil CSE ECE EEE IT Mechanical and M.Tech programs,0.499999999975,0.6,0.8045377795010029,0.0,0.625
How can I contact CVR College?,"['a7: The principal of CVR College is Dr.K.Ramamohan Reddy,Professor of Civil Engineering & Principal.\na8: The director of CVR College is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976\na9: I am a CVR College support bot, your virtual helper designed to support students. I\'m here to provide information on a variety of topics. Whether you have questions about facilities, academic programs, placements, attendance rules, or general campus information â€” I\'m here to make things easier for you.\na10: The official website of CVR College is ""cvr.ac.in"".', 'a10: The official website of CVR College is ""cvr.ac.in"".\na11: For general enquiries contact principal@cvr.ac.in or for admissions related enquiries contact snreddy@cvr.ac.in or for placements related enquiries: placement@cvr.ac.in or 099598 34090.\na12: The address of CVR College campus is Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.\na13: The EAMCET Code is ""CVRH"".\nAR1: A minimum of 75 percent attendance is required to appear for end semester examinations.\nAR2: Students who fail in more than two subjects in a semester must repeat the semester.', 'a1: CVR College of Engineering (CVRCE) is a private autonomous engineering college near Ibrahimpatnam, Hyderabad, affiliated to JNTU Hyderabad,known for strong placements and is managed by the Cherabuddi Education Society.\na2: The Society seeks to harness the technical expertise and financial support of NRIs to make CVR College of Engineering a pre-eminent technical institution.\na3: Dr. Raghava V Cherabuddi is an NRI member of the Cherabuddi Education Society.', 'p11: Students can contact the placement office through the mobile number +91 9849877494 for placement-related queries.\np12: The landline contact number for the placement office is 08414 661 663.\np13: Students can reach the placement office via email at placement@cvr.ac.in or placement.cvr@gmail.com.\np14: During the academic year 2024-25, the college recorded its highest placement performance among peer institutions.\np15: Despite a continued economic recession, around 90 companies visited the campus for recruitment during the 2024-25 academic year.', 'S12: CVR College of Engineering offers a wide range of sports facilities for students.\nS13: CVR College of Engineering Outdoor sports facilities include volleyball courts, a basketball court, a throw ball court, a badminton court, a cricket ground with flood lights, and a football ground.\nS14: CVR College of Engineering Indoor sports facilities include table tennis, chess, gym, and carroms.']","You can contact CVR College through the following methods:

1. Website: cvr.ac.in
2. Email:
   - General enquiries: principal@cvr.ac.in
   - Admissions related enquiries: snreddy@cvr.ac.in
   - Placements related enquiries: placement@cvr.ac.in or placement.cvr@gmail.com
3. Phone:
   - Placements related queries: 099598 34090 or +91 9849877494 (mobile) or 08414 661 663 (landline)
4. Address: Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.",For general enquiries contact principal@cvr.ac.in or for admissions related enquiries contact snreddy@cvr.ac.in or for placements related enquiries: placement@cvr.ac.in or 099598 34090,0.9166666666361111,1.0,0.9914607524373873,0.999999999975,1.0
What are the placement statistics at CVR College?,"['a7: The principal of CVR College is Dr.K.Ramamohan Reddy,Professor of Civil Engineering & Principal.\na8: The director of CVR College is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976\na9: I am a CVR College support bot, your virtual helper designed to support students. I\'m here to provide information on a variety of topics. Whether you have questions about facilities, academic programs, placements, attendance rules, or general campus information â€” I\'m here to make things easier for you.\na10: The official website of CVR College is ""cvr.ac.in"".', 'a10: The official website of CVR College is ""cvr.ac.in"".\na11: For general enquiries contact principal@cvr.ac.in or for admissions related enquiries contact snreddy@cvr.ac.in or for placements related enquiries: placement@cvr.ac.in or 099598 34090.\na12: The address of CVR College campus is Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.\na13: The EAMCET Code is ""CVRH"".\nAR1: A minimum of 75 percent attendance is required to appear for end semester examinations.\nAR2: Students who fail in more than two subjects in a semester must repeat the semester.', 'p11: Students can contact the placement office through the mobile number +91 9849877494 for placement-related queries.\np12: The landline contact number for the placement office is 08414 661 663.\np13: Students can reach the placement office via email at placement@cvr.ac.in or placement.cvr@gmail.com.\np14: During the academic year 2024-25, the college recorded its highest placement performance among peer institutions.\np15: Despite a continued economic recession, around 90 companies visited the campus for recruitment during the 2024-25 academic year.', 'p7: Several personality development programs have been conducted by industry experts to enhance studentsâ€™ professional skills.\np8: CVR students have achieved the highest number of recruitments among institutions of similar age.\np9: For nine consecutive years, CVR students have secured the highest number of placements through pool and on-campus recruitment drives.\np10: Ms. Vijaya Mair serves as the Associate Dean for Campus and Corporate Relations and handles placement-related assistance.', 'p24: The placement cell conducts mock interviews and aptitude training sessions.\np25: For more placement info, please visit, https://cvr.ac.in/home4/index.php/placements page\nr1: The college has a well-defined research policy that covers research facilities and incentives.\nr2: The college provides good research infrastructure, including high-configuration computers and equipment for research project design and development.\nr3: The college provides seed money to support research activities and innovation.']","According to the context, the placement statistics at CVR College are as follows:

- During the 2024-25 academic year, the college recorded its highest placement performance among peer institutions.
- Around 90 companies visited the campus for recruitment during the 2024-25 academic year.
- CVR students have achieved the highest number of recruitments among institutions of similar age.
- For nine consecutive years, CVR students have secured the highest number of placements through pool and on-campus recruitment drives.

Note: The exact percentage of placements is not mentioned in the context, but it is mentioned that the college has a good placement record. For more placement information, students can visit the college's website at https://cvr.ac.in/home4/index.php/placements page.",Around 90 companies visited ~1000 offers highest package Rs 72 lakhs in 2024-25,0.4166666666458333,0.875,0.9961160977844772,0.3333333333,1.0
What is the minimum attendance required to appear for end semester examinations?,"['AR2: Students who fail in more than two subjects in a semester must repeat the semester.\nAR3: Medical leave can be applied by submitting valid documents to the academic office.\nAR4: B.Tech is a 4â€‘year (8â€‘semester) programme, each semester of 22 weeks with at least 90 instructional days.\nAR5: Admission is through TS EAMCET or other university/governmentâ€‘approved merit criteria with statutory reservations.\nAR6: Attendance can be condoned down to 65% on genuine grounds with a fee; below 65% leads to detention and reâ€‘registration of that semester when offered.â€‹', 'a10: The official website of CVR College is ""cvr.ac.in"".\na11: For general enquiries contact principal@cvr.ac.in or for admissions related enquiries contact snreddy@cvr.ac.in or for placements related enquiries: placement@cvr.ac.in or 099598 34090.\na12: The address of CVR College campus is Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.\na13: The EAMCET Code is ""CVRH"".\nAR1: A minimum of 75 percent attendance is required to appear for end semester examinations.\nAR2: Students who fail in more than two subjects in a semester must repeat the semester.', 'AR28: If a student is detained due to shortage of attendance, all internal marks obtained in that semester stand cancelled and the student must repeat the semester.\nAR29: Grace marks or moderation, if applicable, are awarded only as per approved academic council guidelines and cannot be claimed as a right.\nAR30: Students must follow the academic calendar schedule for registrations, fee payments, internal assessments, and examination form submissions.', 'AR16: To be eligible for the award of the B.Tech degree, a student must earn all prescribed credits, clear all courses, and satisfy the minimum CGPA requirement as per academic regulations.\nAR17: A student must register for all courses offered in a semester; withdrawal from a course is permitted only within the notified time period with approval from the academic council.\nAR18: Makeup tests are provided only for genuine medical or emergency reasons and require supporting documents approved by the department.', 'AR19: For a theory course, a student is declared passed only if they secure the minimum required marks separately in internal assessment and semester-end examinations.\nAR20: Backlog courses must be cleared through supplementary examinations, and credits are awarded only after passing all components of the course.\nAR21: Improvement of internal assessment marks may be permitted in the subsequent offering of the course as per the academic guidelines.']",The minimum attendance required to appear for end semester examinations is 75 percent.,A minimum of 75 percent attendance is required to appear for end semester examinations.,0.49999999995,1.0,1.0,0.499999999975,1.0
Does CVR offer AI and Data Science programs?,"['a7: The principal of CVR College is Dr.K.Ramamohan Reddy,Professor of Civil Engineering & Principal.\na8: The director of CVR College is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976\na9: I am a CVR College support bot, your virtual helper designed to support students. I\'m here to provide information on a variety of topics. Whether you have questions about facilities, academic programs, placements, attendance rules, or general campus information â€” I\'m here to make things easier for you.\na10: The official website of CVR College is ""cvr.ac.in"".', 'c12: The college offers a B.Tech program in Mechanical Engineering with an intake of 60 seats for the academic year 2025-26.\nc13: The Computer Science Engineering program includes subjects such as Data Structures, Operating Systems, DBMS, and Machine Learning.\nc14: Elective courses are offered from the third year onwards based on department guidelines.\nc15: CVR College of Engineering offers B.Tech. courses in Civil, CSBS, CSE, CSE (Artificial Intelligence and Machine Learning), CSE (Cyber Security), CSE (Data Science), ECE, EEE, EE (VLSI), EIE, IT and Mechanical Engineering.', 'a1: CVR College of Engineering (CVRCE) is a private autonomous engineering college near Ibrahimpatnam, Hyderabad, affiliated to JNTU Hyderabad,known for strong placements and is managed by the Cherabuddi Education Society.\na2: The Society seeks to harness the technical expertise and financial support of NRIs to make CVR College of Engineering a pre-eminent technical institution.\na3: Dr. Raghava V Cherabuddi is an NRI member of the Cherabuddi Education Society.', 'c16: At CVRCE, all B.Tech. students are provided options to take-up Minor programme in Artificial Intelligence & Machine Learning, Cyber Security, Data Science and Internet of Things from third year.\nc17: The college offers an M.Tech program in Artificial Intelligence with an intake of 18 seats.\nc18: The college offers an M.Tech program in Data Sciences with an intake of 18 seats.\nc19: The college offers an M.Tech program in Electrical Power Engineering with an intake of 18 seats.\nc20: The college offers an M.Tech program in Embedded Systems with an intake of 18 seats.', 'p7: Several personality development programs have been conducted by industry experts to enhance studentsâ€™ professional skills.\np8: CVR students have achieved the highest number of recruitments among institutions of similar age.\np9: For nine consecutive years, CVR students have secured the highest number of placements through pool and on-campus recruitment drives.\np10: Ms. Vijaya Mair serves as the Associate Dean for Campus and Corporate Relations and handles placement-related assistance.']","Yes, CVR College of Engineering offers programs related to AI and Data Science. 

For B.Tech, they offer:
- CSE (Artificial Intelligence and Machine Learning)
- CSE (Data Science)

For M.Tech, they offer:
- Artificial Intelligence with an intake of 18 seats
- Data Sciences with an intake of 18 seats

Additionally, all B.Tech students are provided options to take-up Minor programmes in Artificial Intelligence & Machine Learning and Data Science from the third year.",Yes,0.9166666666361111,1.0,0.8797217955930821,0.499999999975,0.8
How many hostels are available on campus?,"[""h3: The college believes that a residential campus offers a superior environment for academic learning.\nh4: Hostel facilities are designed to provide a comfortable and supportive living environment for students staying on campus.\nh5: Students residing in the hostel have access to a wide range of activities, facilities, and support services.\nh6: The college has two boys' hostels and two girls' hostels located on campus.\nh7: The combined accommodation capacity of all hostels is 1,250 students for the academic year 2025-26."", 'h8: The annual hostel fee for boys and girls is Rs. 1,60,000 for air-conditioned rooms during the academic year 2025-26.\nh9: The annual hostel fee for boys and girls is Rs. 1,35,000 for non air-conditioned rooms during the academic year 2025-26.\nh10: A refundable caution deposit of Rs. 10,000 is collected from students at the time of hostel admission.\ni1: The College is spread over a built-up area of over 36,000 sqm. on a sprawling 33-acre campus amidst verdant surroundings.', 'i2: The college has a total of 119 laboratories across all departments, including computer labs, electronics labs, mechanical labs, and other departmental laboratories.\ni3: For the campus tour, you can visit https://cvr.ac.in/home4/index.php/campus/campus-tour.\ni4: The college has exactly 31 computer laboratories dedicated to computing and IT-related academic activities.\ni5: Computer labs are equipped with the latest Lenovo, Dell, and Apple servers and computer systems.\ni6: The campus provides high speed internet connectivity of approximately 2 Gbps along with campus-wide Wi-Fi access.', 'F2: Faculty office hours are generally from 9 AM to 4 PM on working days.\nF3: Associate professors of CSE (Data Science) Department are Dr. LNC Prakash K, Dr. A. Srinivasa Reddy,  Dr. Varaprasad Rao M, Dr. Rama Krishna B , Dr. Shaik Janbhasha, Dr. Basavaraj Chunchure,  Dr. M. Sreenu.\nh1: The college provides on-campus hostel accommodation as a major support service for students.\nh2: Hostel facilities were established during the academic year 2009-10 to support a residential campus environment.', 'i11: Students are provided with appropriate internet access to support learning and academic activities.\ni12: Computing equipment is regularly upgraded, and previously used equipment is donated to local schools.\ni13: The college has multiple departmental laboratories that support academic and practical learning across various programs.\ni24: The Student Centre is an independent four story building which houses various facilities such as canteen, gym, indoor sports facilities, and placement office.\ni25: The college health centre provides essential medical services for students and staff.']","There are 4 hostels available on campus, consisting of 2 boys' hostels and 2 girls' hostels.",Four,0.9999999999,1.0,0.9999999999999998,0.9999999999,0.8333333333333334
Who is the director of CVR College of Engineering?,"['a1: CVR College of Engineering (CVRCE) is a private autonomous engineering college near Ibrahimpatnam, Hyderabad, affiliated to JNTU Hyderabad,known for strong placements and is managed by the Cherabuddi Education Society.\na2: The Society seeks to harness the technical expertise and financial support of NRIs to make CVR College of Engineering a pre-eminent technical institution.\na3: Dr. Raghava V Cherabuddi is an NRI member of the Cherabuddi Education Society.', 'a7: The principal of CVR College is Dr.K.Ramamohan Reddy,Professor of Civil Engineering & Principal.\na8: The director of CVR College is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976\na9: I am a CVR College support bot, your virtual helper designed to support students. I\'m here to provide information on a variety of topics. Whether you have questions about facilities, academic programs, placements, attendance rules, or general campus information â€” I\'m here to make things easier for you.\na10: The official website of CVR College is ""cvr.ac.in"".', 'p7: Several personality development programs have been conducted by industry experts to enhance studentsâ€™ professional skills.\np8: CVR students have achieved the highest number of recruitments among institutions of similar age.\np9: For nine consecutive years, CVR students have secured the highest number of placements through pool and on-campus recruitment drives.\np10: Ms. Vijaya Mair serves as the Associate Dean for Campus and Corporate Relations and handles placement-related assistance.', 'c12: The college offers a B.Tech program in Mechanical Engineering with an intake of 60 seats for the academic year 2025-26.\nc13: The Computer Science Engineering program includes subjects such as Data Structures, Operating Systems, DBMS, and Machine Learning.\nc14: Elective courses are offered from the third year onwards based on department guidelines.\nc15: CVR College of Engineering offers B.Tech. courses in Civil, CSBS, CSE, CSE (Artificial Intelligence and Machine Learning), CSE (Cyber Security), CSE (Data Science), ECE, EEE, EE (VLSI), EIE, IT and Mechanical Engineering.', 'a10: The official website of CVR College is ""cvr.ac.in"".\na11: For general enquiries contact principal@cvr.ac.in or for admissions related enquiries contact snreddy@cvr.ac.in or for placements related enquiries: placement@cvr.ac.in or 099598 34090.\na12: The address of CVR College campus is Vastunagar, Mangalpalli (V), Ibrahimpatnam (M), Rangareddy (D), Telangana 501 510.\na13: The EAMCET Code is ""CVRH"".\nAR1: A minimum of 75 percent attendance is required to appear for end semester examinations.\nAR2: Students who fail in more than two subjects in a semester must repeat the semester.']","The director of CVR College of Engineering is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976.",Prof. K. Rama Sastri,0.49999999995,0.5,1.0,0.49999999995,1.0
What is the duration of the B.Tech program at CVR College?,"['c8: The college offers a B.Tech program in Electronics Engineering with specialization in VLSI Design and Technology with an intake of 60 seats for the academic year 2025-26.\nc9: The college offers a B.Tech program in Electrical and Electronics Engineering with an intake of 60 seats for the academic year 2025-26.\nc10: The college offers a B.Tech program in Electronics and Instrumentation Engineering with an intake of 60 seats for the academic year 2025-26.\nc11: The college offers a B.Tech program in Information Technology with an intake of 120 seats for the academic year 2025-26.', 'c12: The college offers a B.Tech program in Mechanical Engineering with an intake of 60 seats for the academic year 2025-26.\nc13: The Computer Science Engineering program includes subjects such as Data Structures, Operating Systems, DBMS, and Machine Learning.\nc14: Elective courses are offered from the third year onwards based on department guidelines.\nc15: CVR College of Engineering offers B.Tech. courses in Civil, CSBS, CSE, CSE (Artificial Intelligence and Machine Learning), CSE (Cyber Security), CSE (Data Science), ECE, EEE, EE (VLSI), EIE, IT and Mechanical Engineering.', 'c5: The college offers a B.Tech program in Computer Science and Engineering with specialization in Data Science with an intake of 240 seats for the academic year 2025-26.\nc6: The college offers a B.Tech program in Computer Science and Engineering with specialization in Cyber Security with an intake of 180 seats for the academic year 2025-26.\nc7: The college offers a B.Tech program in Electronics and Communication Engineering with an intake of 120 seats for the academic year 2025-26.', 'c16: At CVRCE, all B.Tech. students are provided options to take-up Minor programme in Artificial Intelligence & Machine Learning, Cyber Security, Data Science and Internet of Things from third year.\nc17: The college offers an M.Tech program in Artificial Intelligence with an intake of 18 seats.\nc18: The college offers an M.Tech program in Data Sciences with an intake of 18 seats.\nc19: The college offers an M.Tech program in Electrical Power Engineering with an intake of 18 seats.\nc20: The college offers an M.Tech program in Embedded Systems with an intake of 18 seats.', 'a7: The principal of CVR College is Dr.K.Ramamohan Reddy,Professor of Civil Engineering & Principal.\na8: The director of CVR College is Prof. K. Rama Sastri, B.E., M.E., Ph.D.(IIT Madras), 1976\na9: I am a CVR College support bot, your virtual helper designed to support students. I\'m here to provide information on a variety of topics. Whether you have questions about facilities, academic programs, placements, attendance rules, or general campus information â€” I\'m here to make things easier for you.\na10: The official website of CVR College is ""cvr.ac.in"".']","The context does not explicitly mention the duration of the B.Tech program at CVR College. It only provides information about the various B.Tech programs offered, their specializations, and intake seats for the academic year 2025-26.",4 years (8 semesters),0.0,1.0,0.0,0.0,0.0
